"","country","date","changeFX","diffInt"
"1","Australia",2000-01-31,0.0256940307125802,-0.00051726976771175
"2","Australia",2000-02-29,0.0377041465692351,-0.000325573826740455
"3","Australia",2000-03-31,0.0117918169472237,-0.000345903924516948
"4","Australia",2000-04-28,0.0394843393328877,-0.000222768672791674
"5","Australia",2000-05-31,0.0225312824244803,-0.000508196875888483
"6","Australia",2000-06-30,-0.0510829304571766,-0.000516189203126068
"7","Australia",2000-07-31,0.0362936221863116,-0.000483475507569994
"8","Australia",2000-08-31,0.0020746895408603,-0.000242269023629361
"9","Australia",2000-09-29,0.0647000664340697,-0.000147699579324638
"10","Australia",2000-10-31,0.0441664534700558,-0.00028942164111161
"11","Australia",2000-11-30,-0.0145596441677712,-0.000494362377683916
"12","Australia",2000-12-29,-0.0553076679900949,-0.000323863332505555
"13","Australia",2001-01-31,0.0117659063920597,0.000218523510357133
"14","Australia",2001-02-28,0.0465893830045101,0.00024802770405788
"15","Australia",2001-03-30,0.0709433198216911,0
"16","Australia",2001-04-30,-0.0450481530907695,0.000391619351000722
"17","Australia",2001-05-31,0.00766437868008045,0.000769678647838881
"18","Australia",2001-06-29,-0.00236453312138247,0.000925442851041196
"19","Australia",2001-07-31,0.00157573402704174,0.00110449303169284
"20","Australia",2001-08-31,-0.0361986681650655,0.00100811253746882
"21","Australia",2001-09-28,0.0637783538641735,0.00158179749474861
"22","Australia",2001-10-31,-0.0222431773334211,0.00174547806931177
"23","Australia",2001-11-30,-0.0302550645720693,0.00184750447069347
"24","Australia",2001-12-31,0.0158918073154891,0.00211201580384654
"25","Australia",2002-01-31,0.0102101809816735,0.00185686401455665
"26","Australia",2002-02-28,-0.0185751748026493,0.00203616689343651
"27","Australia",2002-03-29,-0.0333395960553858,0.00208198595308334
"28","Australia",2002-04-30,-0.0061642111689655,0.00227446545599533
"29","Australia",2002-05-31,-0.0527726465337495,0.00251154202661543
"30","Australia",2002-06-28,0.00833707711483227,0.00272905000505383
"31","Australia",2002-07-31,0.0309330984876278,0.00270437003103224
"32","Australia",2002-08-30,-0.0120527390385166,0.00250813457304469
"33","Australia",2002-09-30,0.0137076074864236,0.00274576100122128
"34","Australia",2002-10-31,-0.0211224167541873,0.00256183726320672
"35","Australia",2002-11-29,-0.0114655501813476,0.00285408684642885
"36","Australia",2002-12-31,-0.00302356833279079,0.00293450924202521
"37","Australia",2003-01-31,-0.0402037960162192,0.00269896475822749
"38","Australia",2003-02-28,-0.0347030045650173,0.00293724737171652
"39","Australia",2003-03-31,0.00429326947429648,0.00285032673421021
"40","Australia",2003-04-30,-0.0345604993958961,0.00294574601049812
"41","Australia",2003-05-30,-0.0408763452133199,0.002842984741729
"42","Australia",2003-06-30,-0.0287397833713706,0.00336059462686079
"43","Australia",2003-07-31,0.0342023859144291,0.00312167030919762
"44","Australia",2003-08-29,0.00131238680202323,0.00303279047814397
"45","Australia",2003-09-30,-0.0447170640001482,0.00332976000424541
"46","Australia",2003-10-31,-0.0471812836487512,0.00314778609376997
"47","Australia",2003-11-28,-0.0196077872405936,0.00353027051306057
"48","Australia",2003-12-31,-0.0404239053430233,0.0036831964410917
"49","Australia",2004-01-30,-0.0100363998615125,0.00356722483858617
"50","Australia",2004-02-27,-0.0137024197915379,0.00372672045298751
"51","Australia",2004-03-31,0.0105538438876931,0.00370059736783929
"52","Australia",2004-04-30,0.0555455257861633,0.00375948115317386
"53","Australia",2004-05-31,0.0119795275775578,0.00359389425458926
"54","Australia",2004-06-30,0.0241112233338986,0.00358090854420049
"55","Australia",2004-07-30,-0.00529745672957109,0.00363361056701574
"56","Australia",2004-08-31,-0.00831886485360078,0.003333454627588
"57","Australia",2004-09-30,-0.0254470214725878,0.00300028568755544
"58","Australia",2004-10-29,-0.0307235475006656,0.00274826730609579
"59","Australia",2004-11-30,-0.0380253974115773,0.00277482190109781
"60","Australia",2004-12-31,-0.0102578152947728,0.00265692617275647
"61","Australia",2005-01-31,0.0114829500516167,0.0021443712035627
"62","Australia",2005-02-28,-0.0240960153804608,0.00257306247935947
"63","Australia",2005-03-31,0.0259042173584428,0.00239443570152031
"64","Australia",2005-04-29,-0.0093287259338051,0.00212828778875576
"65","Australia",2005-05-31,0.0298335582212168,0.00224570768091631
"66","Australia",2005-06-30,-0.00578910899069849,0.00190407463718388
"67","Australia",2005-07-29,0.00289036527833568,0.00188322732737179
"68","Australia",2005-08-31,0.0117788550815957,0.00162549666723653
"69","Australia",2005-09-30,-0.016504203508022,0.0015201753749856
"70","Australia",2005-10-31,0.0218436008290528,0.00117850316970479
"71","Australia",2005-11-30,0.00941309982790092,0.00108144654000477
"72","Australia",2005-12-30,0.00895710677384802,0.00105024117460082
"73","Australia",2006-01-31,-0.030740675605191,0.000740574243350455
"74","Australia",2006-02-28,0.0181422971074822,0.000767609607223747
"75","Australia",2006-03-31,0.0409425959005858,0.00057516011377317
"76","Australia",2006-04-28,-0.062120798190932,0.000514135439870415
"77","Australia",2006-05-31,0.0067442731171698,0.000544167139097615
"78","Australia",2006-06-30,0.0142993215541818,0.000444273922370341
"79","Australia",2006-07-31,-0.0309449902740022,0.00056129543234681
"80","Australia",2006-08-31,0.00346416895990378,0.000589448882377913
"81","Australia",2006-09-29,0.0230489043096429,0.000670241311954014
"82","Australia",2006-10-31,-0.0363173916519567,0.000775644793589601
"83","Australia",2006-11-30,-0.0199584441091292,0.00078566544832664
"84","Australia",2006-12-29,0.00158463570699439,0.000863097558212152
"85","Australia",2007-01-31,0.0174050976802516,0.000736134552139401
